age_group,area,bedrooms,budget_group,id,income,intent,label,name,price,ptype,segment,text
,59.2,2,affordable,Listing:45222670,,,Listing,45222670,1.55,Biệt thự,,
,,,,Location:Quận 9,,,Location,Quận 9,,,,
,,,,Amenity:pool,,,Amenity,pool,,,,
,,,,Amenity:bbq,,,Amenity,bbq,,,,
,,,,Amenity:reception,,,Amenity,reception,,,,
,,,,Amenity:near_bus,,,Amenity,near_bus,,,,
,,,,Amenity:park_view,,,Amenity,park_view,,,,
,69.8,2,affordable,Listing:41003332,,,Listing,41003332,2.99,Căn hộ,,
,,,,Location:Quận 2,,,Location,Quận 2,,,,
,,,,Amenity:garden,,,Amenity,garden,,,,
,58.0,2,affordable,Listing:44850086,,,Listing,44850086,1.7,Căn hộ,,
,,,,Location:Quận Tân Bình,,,Location,Quận Tân Bình,,,,
,,,,Amenity:balcony,,,Amenity,balcony,,,,
,,,,Amenity:sports_court,,,Amenity,sports_court,,,,
,,,,Amenity:near_metro,,,Amenity,near_metro,,,,
,,,,Amenity:near_market,,,Amenity,near_market,,,,
,,,,Amenity:near_park,,,Amenity,near_park,,,,
,201.2,6,luxury,Listing:45225431,,,Listing,45225431,13.09,Căn hộ,,
,,,,Location:Quận Bình Thạnh,,,Location,Quận Bình Thạnh,,,,
,,,,Amenity:garage,,,Amenity,garage,,,,
,,,,Amenity:gym,,,Amenity,gym,,,,
,,,,Amenity:parking,,,Amenity,parking,,,,
,,,,Amenity:near_highway,,,Amenity,near_highway,,,,
,,,,Amenity:near_school,,,Amenity,near_school,,,,
,,,,Amenity:near_mall,,,Amenity,near_mall,,,,
,,,,Amenity:river_view,,,Amenity,river_view,,,,
,,,,Amenity:city_view,,,Amenity,city_view,,,,
,73.6,2,affordable,Listing:43489295,,,Listing,43489295,2.37,Nhà phố,,
,,,,Location:Quận 7,,,Location,Quận 7,,,,
,,,,Amenity:park,,,Amenity,park,,,,
,,,,Amenity:kids_playground,,,Amenity,kids_playground,,,,
,,,,Amenity:security_24h,,,Amenity,security_24h,,,,
